item,value_2024_rm_million,value_2023_rm_million,growth_pct,share_2024_pct,share_2023_pct,share_change_pp,source_url
Shopping,39895.38,28848.93,38.3,37.4,38.8,-1.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Accommodation,19322.2,13406.0,44.1,18.1,18.0,0.1,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Food & Beverages,17188.92,11272.73,52.5,16.1,15.2,0.9,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
International Airfares,8689.88,3779.35,129.9,8.1,5.1,3.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Local Transportation,6079.64,4984.88,22.0,5.7,6.7,-1.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Medical,5055.84,3542.73,42.7,4.7,4.8,-0.1,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Organised Tour,4089.35,3137.57,30.3,3.8,4.2,-0.4,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Domestic Airfares,2555.85,1925.33,32.7,2.4,2.6,-0.2,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Entertainment,2316.73,2761.41,-16.1,2.2,3.7,-1.5,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Fuel,1113.5,273.7,306.8,1.0,0.4,0.6,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Sports,154.89,105.84,46.3,0.1,0.1,0.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
Others,320.92,253.08,26.8,0.3,0.3,0.0,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf
